block,engine,E,heater,p50,p95,sel,score,mat,backend,clk_med,mem_med,clk_active,mem_active,active_samples,high_state,recall,started
3,gpu-rows,1000,0,0.107832,0.113883,0.0272,0.005312,0.008676,0.097122,2550,10501,2550.0,10501.0,32,0.7663551401869159,1.0,1790350981.2318146
3,gpu-rows,1000,1,0.104946,0.210313,0.024544,0.004864,0.008726,0.094016,2550.0,10501.0,2550,10501,145,0.9666666666666667,1.0,1790350186.6783679
3,gpu-rows,10000,0,0.376023,0.389579,0.127744,0.010144,0.141504,0.228307,1065.0,810.0,2430,10501,151,0.4375,1.0,1790350479.452074
3,gpu-rows,10000,1,0.356316,0.423723,0.109472,0.008896,0.1389345,0.207769,2550.0,10501.0,2550.0,10501.0,516,0.5267175572519084,1.0,1790351224.6086764
3,gpu-rows,3000,0,0.158967,0.175277,0.05024,0.00608,0.028203,0.128921,2550.0,10501.0,2550,10501,73,0.6612903225806451,1.0,1790351127.3321605
3,gpu-rows,3000,1,0.152565,0.216395,0.045184,0.005504,0.028533,0.121337,2550,10501,2550,10501,225,0.8590308370044053,1.0,1790351255.8878772
3,gpu-rows,30000,0,0.707002,0.724896,0.287488,0.018144,0.25677,0.441395,210.0,405.0,2835,10501,233,0.24740932642487046,1.0,1790350197.216934
3,gpu-rows,30000,1,0.762035,0.846964,0.287264,0.01872,0.253243,0.503081,210,405,210,405,1585,0.2683385579937304,1.0,1790350396.4756343
4,cpu,100,0,0.01715,0.01914,0.0,0.0,0.0,0.01503,210.0,405.0,0,0,0,0.0,1.0,1790346453.2296488
4,cpu,100,1,0.01734,0.01919,0.0,0.0,0.0,0.01529,2535.0,10501.0,2535.0,10501.0,94,0.5769230769230769,1.0,1790346914.1053598
4,cpu,1000,0,0.10797,0.11411,0.0,0.0,0.0,0.10522,210.0,405.0,0,0,0,0.0,1.0,1790346441.4588788
4,cpu,1000,1,0.1132,0.12038,0.0,0.0,0.0,0.11045,487.5,810.0,450,810,161,0.38764044943820225,1.0,1790347492.7923748
4,cpu,10000,0,3.486436,4.523594,0.0,0.0,0.0,3.4873205,210.0,405.0,0,0,0,0.0,1.0,1790347001.874359
4,cpu,10000,1,3.480074,3.511323,0.0,0.0,0.0,3.471393,210.0,405.0,210.0,405.0,1962,0.04069175991861648,1.0,1790345773.3707526
4,cpu,3000,0,0.355579,0.36882,0.0,0.0,0.0,0.352199,210.0,405.0,0,0,0,0.0,1.0,1790346891.3987906
4,cpu,3000,1,0.36636,0.38061,0.0,0.0,0.0,0.36361,210.0,405.0,210.0,405.0,344,0.19444444444444445,1.0,1790345665.7939372
4,cpu,30000,0,7.270597,7.799766,0.0,0.0,0.0,7.570326,210,405,0,0,0,0.0,1.0,1790346615.249404
4,cpu,30000,1,7.549288,7.912128,0.0,0.0,0.0,7.535523,210.0,405.0,210.0,405.0,4452,0.01344688480502017,1.0,1790346065.0948756
4,gpu-predicate,100,0,0.964799,0.992948,0.665856,0.021984,0.0,0.954289,2820,10501,2820,10501,345,0.9125964010282777,1.0,1790347106.4248564
4,gpu-predicate,100,1,1.003449,1.034168,0.666176,0.02192,0.0,0.995489,2820.0,10501.0,2820,10501,427,0.9617117117117117,1.0,1790347206.7916949
4,gpu-predicate,1000,0,0.985799,1.005988,0.672064,0.023008,0.0,0.970959,2820.0,10501.0,2820.0,10501.0,332,0.8868778280542986,1.0,1790347232.127269
4,gpu-predicate,1000,1,1.065699,1.129088,0.671936,0.022976,0.0,1.0443635,2820.0,10501.0,2820.0,10501.0,500,0.9645669291338582,1.0,1790347462.243911
4,gpu-predicate,10000,0,1.076569,1.100329,0.665696,0.032224,0.0,0.9762,210.0,405.0,2820,10501,373,0.3900316455696203,1.0,1790345702.6488972
4,gpu-predicate,10000,1,1.165638,1.175978,0.665248,0.032192,0.0,1.064498,435,810,480,810,1239,0.4411529223378703,1.0,1790346936.1412423
4,gpu-predicate,3000,0,1.013028,1.033608,0.673056,0.025248,0.0,0.978048,2820,10501,2820.0,10501.0,358,0.7458866544789763,1.0,1790345875.111406
4,gpu-predicate,3000,1,1.037638,1.107278,0.67344,0.02528,0.0,1.005268,2820.0,10501.0,2820.0,10501.0,590,0.8573825503355704,1.0,1790346844.3069818
4,gpu-predicate,30000,0,1.259498,1.306898,0.64048,0.042752,0.0,0.963198,210.0,405.0,2820.0,10501.0,410,0.22181069958847738,1.0,1790346488.2175348
4,gpu-predicate,30000,1,1.300778,1.321868,0.643008,0.044832,0.0,1.001438,210,405,210.0,405.0,2460,0.24929407018959257,1.0,1790345909.6176434
4,gpu-rows,100,0,0.18676,0.20073,0.01776,0.005664,0.00401,0.17867,2535.0,10501.0,2535,10501,89,0.5597014925373134,1.0,1790346922.3682644
4,gpu-rows,100,1,0.182659,0.309179,0.01776,0.005792,0.00394,0.1773245,2535,10501,2535.0,10501.0,174,0.7679558011049724,1.0,1790346879.2701921
4,gpu-rows,1000,0,0.28014,0.34083,0.056448,0.009728,0.0326,0.2408,1260,810,1050.0,810.0,100,0.3286384976525822,1.0,1790345686.9088879
4,gpu-rows,1000,1,0.288819,0.48298,0.039328,0.007936,0.03951,0.25832,2535,10251,2535,10251,243,0.5363984674329502,1.0,1790347506.7797039
4,gpu-rows,10000,0,1.663558,1.699868,0.589216,0.03952,0.667229,0.980989,360.0,405.0,405.0,405.0,558,0.051094890510948905,1.0,1790347130.9978852
4,gpu-rows,10000,1,1.062288,1.176718,0.199648,0.01472,0.5009,0.548829,495,405,495,405,1167,0.17817561807331628,1.0,1790347261.3623655
4,gpu-rows,3000,0,0.628529,0.647829,0.216256,0.018432,0.13415,0.483679,480,405,480.0,405.0,208,0.14388489208633093,1.0,1790346037.1148572
4,gpu-rows,3000,1,0.525359,0.711429,0.086592,0.009696,0.133829,0.35393,1440.0,810.0,1440.0,810.0,430,0.3225806451612903,1.0,1790346463.388781
4,gpu-rows,30000,0,2.699976,2.752565,0.989632,0.061952,1.125608,1.5448125,210.0,405.0,660,810,913,0.020876826722338204,1.0,1790346292.1243763
4,gpu-rows,30000,1,1.871908,1.928597,0.456128,0.064064,0.8483835,0.986964,210.0,405.0,210,405,2621,0.07990867579908675,1.0,1790347325.2785819
