phase,cell,batch,eligible,block,engine,n_samples,started_unix,elapsed_s,clk_before_mhz,clk_end_mhz,temp_end_c,power_end_w,lat_p50_ns,lat_p95_ns,device_selection_med_ns,device_scoring_med_ns,backend_execution_med_ns,row_materialization_med_ns,upload_enqueue_med_ns,readback_completion_med_ns,device_total_med_ns
e2,b1-e3000,1,3000,3,cpu,15000,1790250060.0516407,15.002702236175537,210.0,210.0,24.0,13.19,356079,377479,,,353179.5,,,,
e2,b1-e3000,1,3000,3,gpu-rows,15000,1790250007.7213418,22.290351390838623,210.0,600.0,25.0,16.41,718679,755729,243424.0,20288.0,522979.0,182310.0,21120.0,387859.0,263616.0
e2,b1-e3000,1,3000,3,gpu-predicate,15000,1790249947.8634949,29.82170057296753,210.0,2745.0,30.0,80.82,1156058,1304478,711168.0,26112.0,970973.0,175209.0,48150.0,818438.5,737152.0
e2,b1-e3000,1,3000,3,gpu-mask,15000,1790250105.084539,28.840643644332886,210.0,2745.0,29.0,79.9,1090298,1211408,711168.0,24672.0,938574.0,146065.0,44549.5,809758.0,735744.0
e2,b1-e3000,1,3000,4,cpu,15000,1790250272.2616,16.256083250045776,210.0,210.0,24.0,14.36,370549,642259,,,367269.5,,,,
e2,b1-e3000,1,3000,4,gpu-rows,15000,1790250224.4853325,17.739954233169556,210.0,735.0,26.0,26.39,444530,577109,102592.0,10272.0,288159.0,139684.5,15460.0,196660.0,112992.0
e2,b1-e3000,1,3000,4,gpu-predicate,15000,1790250318.5480516,29.378695964813232,210.0,2745.0,29.0,82.02,1159559,1317568,711200.0,26112.0,974908.5,174399.5,48930.0,821499.0,737184.0
e2,b1-e3000,1,3000,4,gpu-mask,15000,1790250163.9649808,30.479233741760254,210.0,2745.0,29.0,79.01,1225438,1272269,711168.0,24672.0,1029883.0,180249.5,49940.0,848808.0,735744.0
e2,b1-e30000,1,30000,0,cpu,15000,1790253088.0128508,259.0702934265137,210.0,210.0,23.0,13.69,9841737,10976246,,,9832401.5,,,,
e2,b1-e30000,1,30000,0,gpu-rows,15000,1790252512.4430497,161.89828085899353,210.0,480.0,24.0,17.49,3880835,5102322,1128704.0,103552.0,1933132.0,1970607.0,59030.0,1612117.5,1215264.0
e2,b1-e30000,1,30000,0,gpu-predicate,15000,1790252704.381173,166.23299074172974,210.0,1215.0,25.0,28.76,4255435,5085194,1293552.0,103520.0,1951322.5,2276822.0,92110.0,1739863.0,1397168.0
e2,b1-e30000,1,30000,0,gpu-mask,15000,1790252900.653927,157.32866716384888,210.0,1515.0,25.0,30.95,3294706,5029834,1105120.0,79488.0,1556648.0,1741783.0,88900.0,1329028.0,1194960.0
e2,b1-e30000,1,30000,1,cpu,15000,1790253377.1233532,257.90277314186096,210.0,210.0,23.0,13.47,9843877,10448976,,,9833972.0,,,,
e2,b1-e30000,1,30000,1,gpu-rows,15000,1790254044.3518403,157.86621022224426,210.0,480.0,24.0,17.43,3636226,5905692,1108224.0,102496.0,1889867.0,1750808.0,56920.0,1567158.0,1202352.0
e2,b1-e30000,1,30000,1,gpu-predicate,15000,1790253665.0677767,166.64951729774475,210.0,1170.0,25.0,29.28,4248764,5301313,1304816.0,104448.0,1978017.0,2230407.0,92300.0,1757667.0,1409024.0
e2,b1-e30000,1,30000,1,gpu-mask,15000,1790253861.7575455,152.56565475463867,210.0,2055.0,26.0,33.87,2817296,5227183,932800.0,67968.0,1286318.0,1408918.0,84720.0,1087288.5,1000640.0
e2,b1-e30000,1,30000,2,cpu,15000,1790254232.251487,257.0375874042511,210.0,210.0,23.0,14.24,9713258,10536786,,,9703667.5,,,,
e2,b1-e30000,1,30000,2,gpu-rows,15000,1790254709.4093182,165.03056454658508,210.0,645.0,24.0,15.72,4333374,4660194,1182768.0,106112.0,2082992.5,2205982.0,59749.0,1731688.0,1288768.0
e2,b1-e30000,1,30000,2,gpu-predicate,15000,1790254904.4757185,167.78400778770447,210.0,1260.0,25.0,30.97,4350814,4670253,1376384.0,108576.0,2072547.5,2239882.0,93090.0,1853463.0,1484688.0
e2,b1-e30000,1,30000,2,gpu-mask,15000,1790254519.3294487,160.03930282592773,210.0,1470.0,25.0,30.12,4247095,4650064,1291728.0,100128.0,2007227.0,2192867.5,92540.0,1738103.0,1391840.0
e2,b1-e30000,1,30000,3,cpu,15000,1790255698.9449098,258.2740480899811,210.0,210.0,26.0,14.01,9765846,11139205,,,9756311.5,,,,
e2,b1-e30000,1,30000,3,gpu-rows,15000,1790255500.3444588,168.56246829032898,210.0,630.0,26.0,18.41,4494063,5150223,1296128.0,108544.0,2180337.0,2272342.0,60239.0,1831092.0,1404768.0
e2,b1-e30000,1,30000,3,gpu-predicate,15000,1790255102.29066,167.32783126831055,210.0,2100.0,26.0,32.68,4346924,4569074,1376704.0,108512.0,2073762.0,2239762.0,92880.0,1857248.0,1484864.0
e2,b1-e30000,1,30000,3,gpu-mask,15000,1790255299.6595306,170.64398646354675,210.0,1170.0,26.0,30.31,4463024,5304142,1437712.0,108128.0,2168087.5,2263197.0,93050.0,1901093.0,1546016.0
